;0;1000;2000;3000;4000;5000;6000;7000;8000;9000;10000;11000;12000;13000;14000;15000;16000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5000;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;35;0
6000;0;0;0;0;0;12;370;6;0;0;0;0;0;38;173;0;0
7000;0;0;0;0;0;0;6;492;0;0;0;0;0;114;0;0;0
8000;0;0;0;0;0;0;0;0;408;39;0;0;43;25;0;0;0
9000;0;0;0;0;0;0;0;0;39;362;0;154;71;0;0;0;0
10000;0;0;0;0;0;0;0;0;0;0;540;17;0;0;0;0;0
11000;0;0;0;0;0;0;0;0;0;154;17;368;18;0;0;0;0
12000;0;0;0;0;0;0;0;0;43;71;0;18;362;85;0;0;0
13000;0;0;0;0;0;0;38;114;25;0;0;0;85;304;1;0;0
14000;0;0;0;0;0;0;173;0;0;0;0;0;0;1;226;51;0
15000;0;0;0;0;0;35;0;0;0;0;0;0;0;0;51;432;0
16000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
